,코드,시도,시군구,읍면동,하위,위도,경도,코드종류
275,1154551000,서울특별시,금천구,가산동,,37.476681,126.883767,H
276,1154561000,서울특별시,금천구,독산1동,,37.456979,126.895656,H
277,1154562000,서울특별시,금천구,독산2동,,37.456979,126.895656,H
278,1154563000,서울특별시,금천구,독산3동,,37.456979,126.895656,H
279,1154564000,서울특별시,금천구,독산4동,,37.456979,126.895656,H
280,1154567000,서울특별시,금천구,시흥1동,,37.456979,126.895656,H
281,1154568000,서울특별시,금천구,시흥2동,,37.456979,126.895656,H
282,1154569000,서울특별시,금천구,시흥3동,,37.456979,126.895656,H
283,1154570000,서울특별시,금천구,시흥4동,,37.456979,126.895656,H
284,1154571000,서울특별시,금천구,시흥5동,,37.456979,126.895656,H
285,1156051500,서울특별시,영등포구,영등포본동,,37.514692,126.909387,H
286,1156053500,서울특별시,영등포구,영등포동,,37.513786,126.906901,H
287,1156054000,서울특별시,영등포구,여의동,,37.517598,126.934571,H
288,1156055000,서울특별시,영등포구,당산1동,,37.52641,126.896252,H
289,1156056000,서울특별시,영등포구,당산2동,,37.52641,126.896252,H
290,1156058500,서울특별시,영등포구,도림동,,37.509105,126.900533,H
291,1156060500,서울특별시,영등포구,문래동,,37.517141,126.899454,H
292,1156061000,서울특별시,영등포구,양평1동,,37.52641,126.896252,H
293,1156062000,서울특별시,영등포구,양평2동,,37.52641,126.896252,H
294,1156063000,서울특별시,영등포구,신길1동,,37.52641,126.896252,H
295,1156065000,서울특별시,영등포구,신길3동,,37.52641,126.896252,H
296,1156066000,서울특별시,영등포구,신길4동,,37.52641,126.896252,H
297,1156067000,서울특별시,영등포구,신길5동,,37.52641,126.896252,H
298,1156068000,서울특별시,영등포구,신길6동,,37.52641,126.896252,H
299,1156069000,서울특별시,영등포구,신길7동,,37.52641,126.896252,H
300,1156070000,서울특별시,영등포구,대림1동,,37.52641,126.896252,H
301,1156071000,서울특별시,영등포구,대림2동,,37.52641,126.896252,H
302,1156072000,서울특별시,영등포구,대림3동,,37.52641,126.896252,H
303,1159051000,서울특별시,동작구,노량진1동,,37.512462,126.939485,H
304,1159052000,서울특별시,동작구,노량진2동,,37.512462,126.939485,H
305,1159053000,서울특별시,동작구,상도1동,,37.512462,126.939485,H
306,1159054000,서울특별시,동작구,상도2동,,37.512462,126.939485,H
307,1159055000,서울특별시,동작구,상도3동,,37.512462,126.939485,H
308,1159056000,서울특별시,동작구,상도4동,,37.512462,126.939485,H
309,1159060500,서울특별시,동작구,흑석동,,37.505492,126.962317,H
310,1159062000,서울특별시,동작구,사당1동,,37.512462,126.939485,H
311,1159063000,서울특별시,동작구,사당2동,,37.512462,126.939485,H
312,1159064000,서울특별시,동작구,사당3동,,37.512462,126.939485,H
313,1159065000,서울특별시,동작구,사당4동,,37.512462,126.939485,H
314,1159065100,서울특별시,동작구,사당5동,,37.512462,126.939485,H
315,1159066000,서울특별시,동작구,대방동,,37.506879,126.927994,H
316,1159067000,서울특별시,동작구,신대방1동,,37.512462,126.939485,H
317,1159068000,서울특별시,동작구,신대방2동,,37.512462,126.939485,H
318,1162052500,서울특별시,관악구,보라매동,,37.488208,126.932761,H
319,1162054500,서울특별시,관악구,청림동,,37.491928,126.958841,H
320,1162056500,서울특별시,관악구,성현동,,37.489708,126.948322,H
321,1162057500,서울특별시,관악구,행운동,,37.480738,126.95695,H
322,1162058500,서울특별시,관악구,낙성대동,,37.476281,126.958369,H
323,1162059500,서울특별시,관악구,청룡동,,37.479143,126.941675,H
324,1162060500,서울특별시,관악구,은천동,,37.485376,126.942503,H
325,1162061500,서울특별시,관악구,중앙동,,37.484016,126.949645,H
326,1162062500,서울특별시,관악구,인헌동,,37.475126,126.965259,H
