,Title,Location,Scale,Date_start,Date_finish,Size_one,Size_two,Price_one,Price_two
154,완주이서 신일 해피트리,전라북도 완주군 이서면 은교리 653-3 일원,330세대,2022-05-02,2022-05-04,79.5469,105.1684,"22,460","29,990"
155,인천시청역 한신더휴,인천광역시 남동구 간석동 514번지 일원,162세대,2022-05-02,2022-05-06,62.4913,113.8845,"29,061","63,268"
156,휴온 아델리브 더 테라스,제주특별자치도 서귀포시 대정읍 구억리 863번지 일원,68세대,2022-05-02,2022-05-04,137.7598,137.2101,"104,500","109,800"
157,1호선 전곡역 제일풍경채 리버파크,경기도 연천군 전곡읍 전곡리 85-12번지 일원,845세대,2022-05-09,2022-05-11,86.561,289.0345,"28,892","129,402"
158,금곡역한신더휴,경기도 남양주시 금곡동 404-20번지 일원,192세대,2022-05-09,2022-05-12,45.2001,123.2941,"22,400","66,100"
159,김해 구산 푸르지오 파크테르,경상남도 김해시 구산동 691번지 일원,534세대,2022-05-09,2022-05-11,107.3588,139.3955,"56,470","78,770"
160,초혁신도시 반도유보라 마크브릿지,강원도 원주시 관설동 1426번지 외 4필지,476세대,2022-05-09,2022-05-11,89.1998,168.2822,"28,410","59,230"
161,마크원 순천,전라남도 순천시 강변로 893(석현동),99세대,2022-05-16,2022-05-19,135.8498,186.5608,"58,990","145,350"
162,영통 푸르지오 트레센츠(A1BL),경기도 수원시 영통구 망포동 종전부동산 망포지구 A1블록 (망포동 234-7번지 일원),796세대,2022-05-16,2022-05-19,112.0767,138.4319,"75,530","89,560"
163,영통 푸르지오 파인베르(A2BL),경기도 수원시 영통구 망포동 종전부동산 망포지구 A2블록 (망포동 234-6번지 일원),770세대,2022-05-16,2022-05-19,111.2652,137.5848,"73,720","87,520"
164,장락동 세영리첼 에듀퍼스트,충청북도 제천시 장락동 622-2 일원,564세대,2022-05-16,2022-05-18,110.2283,109.6738,"42,265","40,265"
165,제천자이 더 스카이,충청북도 제천시 신월동 1474번지 (미니복합타운 D1블록),713세대,2022-05-16,2022-05-19,106.4217,150.586,"32,260","48,980"
